1588422830,"2020-05-02 12:33:50",0,92,13.634116,2,0,7,14,4,1,3,37.389154,-5.985604
1588423370,"2020-05-02 12:42:50",10,65,3.102803,2,9,5,3,4,1,3,37.389134,-5.985577
1588425289,"2020-05-02 13:14:49",0,85,3,2,0,7,3,4,1,3,37.389142,-5.98561
1588427449,"2020-05-02 13:50:49",24,151,3,2,24,12,3,4,1,3,37.389159,-5.985606
1588428470,"2020-05-02 14:07:50",17,158,3,2,16,13,3,4,1,3,37.389159,-5.985606
1588428769,"2020-05-02 14:12:49",17,168,3,2,16,13,3,4,1,3,37.389159,-5.985606
1588433090,"2020-05-02 15:24:50",20,165,3,2,19,13,3,4,1,3,37.389143,-5.985612
1588433270,"2020-05-02 15:27:50",21,164,3,2,20,13,3,4,1,3,37.389146,-5.98562
1588434110,"2020-05-02 15:41:50",19,179,3,2,18,14,3,4,1,3,37.389146,-5.98562
1588435490,"2020-05-02 16:04:50",16,177,3,2,15,14,3,4,1,3,37.389146,-5.98562
1588435790,"2020-05-02 16:09:50",17,172,3,2,16,14,3,4,1,3,37.389144,-5.985622
1588436629,"2020-05-02 16:23:49",17,169,3,2,16,14,3,4,1,3,37.389142,-5.985609
1588437050,"2020-05-02 16:30:50",19,168,9.9322605,2,18,13,10,4,1,3,37.38914,-5.985599
1588437350,"2020-05-02 16:35:50",19,167,3,2,18,13,3,4,1,3,37.389153,-5.985594
1588437710,"2020-05-02 16:41:50",20,171,3,2,19,14,3,4,1,3,37.389142,-5.985602
1588438610,"2020-05-02 16:56:50",20,172,3,2,19,14,3,4,1,3,37.389122,-5.985536
1588438910,"2020-05-02 17:01:50",21,175,3,2,19,14,3,4,1,3,37.389144,-5.985602
1588438970,"2020-05-02 17:02:50",19,176,3,2,18,14,3,4,1,3,37.389114,-5.984745
1588439450,"2020-05-02 17:10:50",21,181,3,2,20,14,3,4,1,3,37.389142,-5.985611
1588440410,"2020-05-02 17:26:50",18,181,3,2,17,14,3,4,1,3,37.389143,-5.985613
1588441370,"2020-05-02 17:42:50",0,0,21.00435,2,0,0,21,4,1,3,37.389145,-5.985615
1588443470,"2020-05-02 18:17:50",23,196,3.039061,2,23,16,3,4,1,3,37.389158,-5.98562
1588443831,"2020-05-02 18:23:51",16,187,3,2,15,15,3,4,1,3,37.388892,-5.986339
1588443891,"2020-05-02 18:24:51",20,163,3,2,19,13,3,4,1,3,37.388652,-5.986451
1588444311,"2020-05-02 18:31:51",26,144,3,2,26,12,3,4,1,3,37.384357,-5.986728
1588444371,"2020-05-02 18:32:51",28,133,3,2,30,11,3,4,1,3,37.384487,-5.987587
1588444430,"2020-05-02 18:33:50",29,132,3,2,31,11,3,4,1,3,37.384239,-5.987846
1588444490,"2020-05-02 18:34:50",30,132,3,2,32,11,3,4,1,3,37.383601,-5.988282
1588444670,"2020-05-02 18:37:50",25,146,3,2,25,12,3,4,1,3,37.382663,-5.98796
1588444730,"2020-05-02 18:38:50",27,151,3,2,29,12,3,4,1,3,37.382143,-5.988675
1588444850,"2020-05-02 18:40:50",27,141,3.8689013,2,28,11,4,4,1,3,37.381668,-5.989223
1588444910,"2020-05-02 18:41:50",30,139,4.10464,2,33,11,4,4,1,3,37.381562,-5.989851
1588444970,"2020-05-02 18:42:50",30,131,5.8389263,2,33,10,6,4,1,3,37.381732,-5.990368
1588445390,"2020-05-02 18:49:50",29,128,3,2,31,10,3,4,1,3,37.384273,-5.992365
1588445510,"2020-05-02 18:51:50",0,131,40.38415,3.6052866,0,10,40,7,1,3,37.384619,-5.992426
1588445810,"2020-05-02 18:56:50",0,0,19.465946,2,0,0,19,4,1,3,37.385035,-5.99224
1588446050,"2020-05-02 19:00:50",28,132,4.1289988,2,30,11,4,4,1,3,37.386966,-5.992991
1588446110,"2020-05-02 19:01:50",27,139,3,2,29,11,3,4,1,3,37.387402,-5.993069
1588446230,"2020-05-02 19:03:50",27,133,3,2,29,11,3,4,1,3,37.388208,-5.993454
1588446290,"2020-05-02 19:04:50",29,132,3,2,31,11,3,4,1,3,37.388763,-5.9933
1588446350,"2020-05-02 19:05:50",28,129,3,2,30,10,3,4,1,3,37.389183,-5.993188
1588446410,"2020-05-02 19:06:50",30,136,14.91268,2,33,11,15,4,1,3,37.389496,-5.993141
1588446470,"2020-05-02 19:07:50",28,135,3,2,29,11,3,4,1,3,37.390017,-5.993172
1588446530,"2020-05-02 19:08:50",30,132,8.156822,2,33,11,8,4,1,3,37.390293,-5.993583
1588446710,"2020-05-02 19:11:50",31,132,3,2,33,11,3,4,1,3,37.391399,-5.993469
1588446831,"2020-05-02 19:13:51",29,137,3,2,31,11,3,4,1,3,37.391182,-5.992245
1588446891,"2020-05-02 19:14:51",29,137,3,2,31,11,3,4,1,3,37.391238,-5.99191
1588447371,"2020-05-02 19:22:51",32,138,3,2,36,11,3,4,1,3,37.38969,-5.986979
1588447431,"2020-05-02 19:23:51",31,138,3,2,33,11,3,4,1,3,37.389733,-5.986636
1588447490,"2020-05-02 19:24:50",34,139,3,2,38,11,3,4,1,3,37.389774,-5.986093
1588447550,"2020-05-02 19:25:50",33,136,3,2,37,11,3,4,1,3,37.389374,-5.985662
1588447730,"2020-05-02 19:28:50",34,115,3,2,38,9,3,4,1,3,37.388975,-5.985895
